“starting the job...”
0,1,2,3
training/configs/rand_gen_zinc250k_config_dict.json
Training model...
Model #Params: 4732K
[Train][100] Alpha: 250.000, Beta: 0.000, Loss: 346.54, KL: 66.48, MAE: 0.11508, Word Loss: 94.89, Topo Loss: 27.25, Assm Loss: 8.83, Pred Loss: 0.86, Word: 26.97, Topo: 77.90, Assm: 53.96, PNorm: 101.03, GNorm: 50.00
[Train][200] Alpha: 250.000, Beta: 0.000, Loss: 226.45, KL: 107.95, MAE: 0.09394, Word Loss: 62.28, Topo Loss: 14.82, Assm Loss: 8.75, Pred Loss: 0.56, Word: 44.55, Topo: 89.80, Assm: 57.58, PNorm: 104.89, GNorm: 50.00
[Train][300] Alpha: 250.000, Beta: 0.000, Loss: 219.38, KL: 121.72, MAE: 0.09490, Word Loss: 54.85, Topo Loss: 14.06, Assm Loss: 8.13, Pred Loss: 0.57, Word: 50.70, Topo: 89.92, Assm: 59.71, PNorm: 107.82, GNorm: 50.00
[Train][400] Alpha: 250.000, Beta: 0.000, Loss: 185.23, KL: 153.12, MAE: 0.08355, Word Loss: 50.96, Topo Loss: 11.34, Assm Loss: 8.37, Pred Loss: 0.46, Word: 54.25, Topo: 91.98, Assm: 59.57, PNorm: 110.38, GNorm: 50.00
[Train][500] Alpha: 250.000, Beta: 0.000, Loss: 171.46, KL: 184.82, MAE: 0.08136, Word Loss: 48.34, Topo Loss: 10.07, Assm Loss: 7.96, Pred Loss: 0.42, Word: 56.97, Topo: 92.75, Assm: 60.19, PNorm: 112.43, GNorm: 50.00
[Train][600] Alpha: 250.000, Beta: 0.000, Loss: 172.65, KL: 180.63, MAE: 0.08084, Word Loss: 46.50, Topo Loss: 12.02, Assm Loss: 7.90, Pred Loss: 0.42, Word: 58.32, Topo: 91.09, Assm: 60.98, PNorm: 114.68, GNorm: 50.00
[Train][700] Alpha: 250.000, Beta: 0.000, Loss: 146.37, KL: 213.21, MAE: 0.07159, Word Loss: 44.64, Topo Loss: 9.77, Assm Loss: 7.80, Pred Loss: 0.34, Word: 59.65, Topo: 93.20, Assm: 62.99, PNorm: 117.12, GNorm: 50.00
[Train][800] Alpha: 250.000, Beta: 0.000, Loss: 157.04, KL: 217.51, MAE: 0.07798, Word Loss: 44.17, Topo Loss: 10.09, Assm Loss: 7.64, Pred Loss: 0.38, Word: 59.97, Topo: 92.82, Assm: 62.21, PNorm: 119.33, GNorm: 50.00
[Train][900] Alpha: 250.000, Beta: 0.000, Loss: 155.55, KL: 244.19, MAE: 0.07636, Word Loss: 42.97, Topo Loss: 9.21, Assm Loss: 7.50, Pred Loss: 0.38, Word: 61.92, Topo: 93.53, Assm: 63.29, PNorm: 121.09, GNorm: 50.00
[Train][1000] Alpha: 250.000, Beta: 0.000, Loss: 155.62, KL: 248.47, MAE: 0.07676, Word Loss: 41.97, Topo Loss: 9.58, Assm Loss: 7.53, Pred Loss: 0.39, Word: 62.19, Topo: 93.07, Assm: 62.67, PNorm: 122.80, GNorm: 50.00
[Train][1100] Alpha: 250.000, Beta: 0.000, Loss: 143.73, KL: 234.91, MAE: 0.07299, Word Loss: 41.22, Topo Loss: 8.68, Assm Loss: 7.22, Pred Loss: 0.35, Word: 62.39, Topo: 93.71, Assm: 64.76, PNorm: 124.49, GNorm: 50.00
[Train][1200] Alpha: 250.000, Beta: 0.000, Loss: 141.00, KL: 275.00, MAE: 0.07087, Word Loss: 41.14, Topo Loss: 8.26, Assm Loss: 7.46, Pred Loss: 0.34, Word: 63.00, Topo: 94.22, Assm: 65.20, PNorm: 126.62, GNorm: 50.00
[Train][1300] Alpha: 250.000, Beta: 0.000, Loss: 133.12, KL: 277.66, MAE: 0.06920, Word Loss: 39.70, Topo Loss: 8.21, Assm Loss: 7.32, Pred Loss: 0.31, Word: 63.68, Topo: 94.15, Assm: 63.54, PNorm: 128.66, GNorm: 50.00
[Train][1400] Alpha: 250.000, Beta: 0.000, Loss: 126.08, KL: 282.63, MAE: 0.06648, Word Loss: 39.90, Topo Loss: 8.27, Assm Loss: 7.17, Pred Loss: 0.28, Word: 63.72, Topo: 94.14, Assm: 65.71, PNorm: 130.39, GNorm: 50.00
[Train][1500] Alpha: 250.000, Beta: 0.000, Loss: 132.36, KL: 271.55, MAE: 0.06948, Word Loss: 39.21, Topo Loss: 8.06, Assm Loss: 7.10, Pred Loss: 0.31, Word: 63.68, Topo: 94.29, Assm: 65.34, PNorm: 132.44, GNorm: 50.00
[Train][1600] Alpha: 250.000, Beta: 0.000, Loss: 124.27, KL: 288.21, MAE: 0.06511, Word Loss: 38.08, Topo Loss: 7.71, Assm Loss: 7.26, Pred Loss: 0.28, Word: 65.06, Topo: 94.53, Assm: 64.22, PNorm: 134.11, GNorm: 50.00
[Validation][175] Alpha: 250.000, Beta: 0.000, Loss: 90.03, KL: 157.54, MAE: 0.06402, Word Loss: 18.71, Topo Loss: 3.68, Assm Loss: 3.60, Pred Loss: 0.26, Word: 65.40, Topo: 94.71, Assm: 65.23
[Train][1700] Alpha: 250.000, Beta: 0.000, Loss: 115.52, KL: 310.68, MAE: 0.06312, Word Loss: 37.70, Topo Loss: 7.33, Assm Loss: 7.00, Pred Loss: 0.25, Word: 64.93, Topo: 94.70, Assm: 65.80, PNorm: 135.88, GNorm: 50.00
[Train][1800] Alpha: 250.000, Beta: 0.000, Loss: 115.94, KL: 319.17, MAE: 0.06226, Word Loss: 36.65, Topo Loss: 7.42, Assm Loss: 7.10, Pred Loss: 0.26, Word: 66.26, Topo: 94.64, Assm: 64.63, PNorm: 137.74, GNorm: 50.00
[Train][1900] Alpha: 250.000, Beta: 0.000, Loss: 112.47, KL: 309.57, MAE: 0.06059, Word Loss: 36.58, Topo Loss: 8.56, Assm Loss: 7.06, Pred Loss: 0.24, Word: 65.65, Topo: 93.86, Assm: 65.62, PNorm: 139.70, GNorm: 50.00
[Train][2000] Alpha: 250.000, Beta: 0.000, Loss: 113.20, KL: 328.86, MAE: 0.06188, Word Loss: 35.94, Topo Loss: 7.12, Assm Loss: 6.69, Pred Loss: 0.25, Word: 66.98, Topo: 94.90, Assm: 67.25, PNorm: 141.29, GNorm: 50.00
[Train][2100] Alpha: 250.000, Beta: 0.000, Loss: 109.83, KL: 351.12, MAE: 0.06002, Word Loss: 35.77, Topo Loss: 8.20, Assm Loss: 6.97, Pred Loss: 0.24, Word: 66.60, Topo: 94.23, Assm: 66.63, PNorm: 143.11, GNorm: 50.00
[Train][2200] Alpha: 250.000, Beta: 0.000, Loss: 101.62, KL: 345.34, MAE: 0.05626, Word Loss: 34.87, Topo Loss: 7.04, Assm Loss: 6.90, Pred Loss: 0.21, Word: 67.92, Topo: 94.98, Assm: 65.29, PNorm: 144.92, GNorm: 50.00
[Train][2300] Alpha: 250.000, Beta: 0.000, Loss: 104.34, KL: 356.28, MAE: 0.05737, Word Loss: 34.91, Topo Loss: 7.01, Assm Loss: 6.69, Pred Loss: 0.22, Word: 68.13, Topo: 95.08, Assm: 67.67, PNorm: 146.55, GNorm: 50.00
[Train][2400] Alpha: 250.000, Beta: 0.000, Loss: 105.80, KL: 360.00, MAE: 0.05898, Word Loss: 33.70, Topo Loss: 7.18, Assm Loss: 6.81, Pred Loss: 0.23, Word: 68.35, Topo: 94.90, Assm: 67.09, PNorm: 148.16, GNorm: 50.00
[Train][2500] Alpha: 250.000, Beta: 0.000, Loss: 106.63, KL: 369.60, MAE: 0.06009, Word Loss: 33.33, Topo Loss: 6.67, Assm Loss: 6.78, Pred Loss: 0.24, Word: 68.80, Topo: 95.14, Assm: 67.59, PNorm: 149.80, GNorm: 50.00
[Train][2600] Alpha: 250.000, Beta: 0.000, Loss: 93.48, KL: 382.06, MAE: 0.05255, Word Loss: 34.14, Topo Loss: 6.73, Assm Loss: 6.65, Pred Loss: 0.18, Word: 68.20, Topo: 95.35, Assm: 68.97, PNorm: 151.58, GNorm: 50.00
[Train][2700] Alpha: 250.000, Beta: 0.000, Loss: 99.17, KL: 398.86, MAE: 0.05589, Word Loss: 32.61, Topo Loss: 6.65, Assm Loss: 6.78, Pred Loss: 0.21, Word: 69.84, Topo: 95.31, Assm: 67.41, PNorm: 153.11, GNorm: 50.00
[Train][2800] Alpha: 250.000, Beta: 0.000, Loss: 89.63, KL: 405.78, MAE: 0.05093, Word Loss: 32.23, Topo Loss: 6.46, Assm Loss: 6.91, Pred Loss: 0.18, Word: 69.60, Topo: 95.44, Assm: 67.00, PNorm: 154.51, GNorm: 50.00
[Train][2900] Alpha: 250.000, Beta: 0.000, Loss: 91.13, KL: 406.94, MAE: 0.05251, Word Loss: 31.91, Topo Loss: 6.29, Assm Loss: 6.58, Pred Loss: 0.19, Word: 69.39, Topo: 95.51, Assm: 67.08, PNorm: 156.21, GNorm: 50.00
[Train][3000] Alpha: 250.000, Beta: 0.000, Loss: 93.95, KL: 407.82, MAE: 0.05487, Word Loss: 30.98, Topo Loss: 6.17, Assm Loss: 6.63, Pred Loss: 0.20, Word: 70.66, Topo: 95.64, Assm: 67.83, PNorm: 157.69, GNorm: 50.00
[Train][3100] Alpha: 250.000, Beta: 0.000, Loss: 93.48, KL: 425.99, MAE: 0.05401, Word Loss: 30.61, Topo Loss: 6.03, Assm Loss: 6.44, Pred Loss: 0.20, Word: 71.03, Topo: 95.69, Assm: 69.01, PNorm: 159.16, GNorm: 50.00
[Train][3200] Alpha: 250.000, Beta: 0.000, Loss: 90.46, KL: 420.33, MAE: 0.05336, Word Loss: 31.15, Topo Loss: 6.35, Assm Loss: 6.56, Pred Loss: 0.19, Word: 70.52, Topo: 95.45, Assm: 67.84, PNorm: 160.85, GNorm: 50.00
[Train][3300] Alpha: 250.000, Beta: 0.000, Loss: 86.50, KL: 430.53, MAE: 0.05019, Word Loss: 31.30, Topo Loss: 6.14, Assm Loss: 6.73, Pred Loss: 0.17, Word: 70.46, Topo: 95.67, Assm: 67.35, PNorm: 162.41, GNorm: 50.00
[Validation][175] Alpha: 250.000, Beta: 0.000, Loss: 71.03, KL: 230.72, MAE: 0.05276, Word Loss: 15.74, Topo Loss: 3.52, Assm Loss: 3.27, Pred Loss: 0.19, Word: 70.18, Topo: 94.80, Assm: 68.34
[Train][3400] Alpha: 250.000, Beta: 0.000, Loss: 88.44, KL: 441.62, MAE: 0.05156, Word Loss: 30.19, Topo Loss: 6.04, Assm Loss: 6.73, Pred Loss: 0.18, Word: 71.05, Topo: 95.66, Assm: 67.23, PNorm: 164.10, GNorm: 50.00
[Train][3500] Alpha: 250.000, Beta: 0.000, Loss: 81.05, KL: 455.57, MAE: 0.04835, Word Loss: 29.08, Topo Loss: 5.87, Assm Loss: 6.23, Pred Loss: 0.16, Word: 72.43, Topo: 95.90, Assm: 68.85, PNorm: 165.87, GNorm: 50.00
[Train][3600] Alpha: 250.000, Beta: 0.000, Loss: 84.92, KL: 465.89, MAE: 0.05117, Word Loss: 29.16, Topo Loss: 5.81, Assm Loss: 6.35, Pred Loss: 0.17, Word: 71.86, Topo: 95.81, Assm: 69.31, PNorm: 167.42, GNorm: 50.00
[Train][3700] Alpha: 250.000, Beta: 0.000, Loss: 81.74, KL: 468.83, MAE: 0.05030, Word Loss: 28.73, Topo Loss: 5.81, Assm Loss: 5.93, Pred Loss: 0.17, Word: 72.94, Topo: 95.84, Assm: 71.37, PNorm: 168.81, GNorm: 50.00
[Train][3800] Alpha: 250.000, Beta: 0.000, Loss: 83.52, KL: 470.02, MAE: 0.05016, Word Loss: 28.54, Topo Loss: 5.71, Assm Loss: 6.14, Pred Loss: 0.17, Word: 72.54, Topo: 95.93, Assm: 70.72, PNorm: 170.46, GNorm: 50.00
[Train][3900] Alpha: 250.000, Beta: 0.000, Loss: 81.25, KL: 479.30, MAE: 0.05023, Word Loss: 27.88, Topo Loss: 5.69, Assm Loss: 5.70, Pred Loss: 0.17, Word: 73.10, Topo: 95.97, Assm: 72.59, PNorm: 171.90, GNorm: 50.00
[Train][4000] Alpha: 250.000, Beta: 0.000, Loss: 78.12, KL: 484.34, MAE: 0.04768, Word Loss: 28.41, Topo Loss: 5.80, Assm Loss: 5.77, Pred Loss: 0.15, Word: 72.96, Topo: 95.88, Assm: 73.16, PNorm: 173.55, GNorm: 50.00
[Train][4100] Alpha: 250.000, Beta: 0.000, Loss: 80.10, KL: 492.62, MAE: 0.04931, Word Loss: 28.06, Topo Loss: 5.54, Assm Loss: 5.48, Pred Loss: 0.16, Word: 73.04, Topo: 96.10, Assm: 73.50, PNorm: 175.37, GNorm: 50.00
[Train][4200] Alpha: 250.000, Beta: 0.000, Loss: 77.83, KL: 500.73, MAE: 0.04781, Word Loss: 27.63, Topo Loss: 5.57, Assm Loss: 5.70, Pred Loss: 0.16, Word: 73.21, Topo: 95.99, Assm: 72.31, PNorm: 176.79, GNorm: 50.00
[Train][4300] Alpha: 250.000, Beta: 0.000, Loss: 75.72, KL: 524.56, MAE: 0.04842, Word Loss: 26.59, Topo Loss: 5.11, Assm Loss: 5.36, Pred Loss: 0.15, Word: 74.35, Topo: 96.44, Assm: 74.62, PNorm: 178.00, GNorm: 50.00
[Train][4400] Alpha: 250.000, Beta: 0.000, Loss: 71.57, KL: 524.05, MAE: 0.04449, Word Loss: 27.13, Topo Loss: 5.47, Assm Loss: 5.48, Pred Loss: 0.13, Word: 73.65, Topo: 96.11, Assm: 73.65, PNorm: 179.56, GNorm: 50.00
[Train][4500] Alpha: 250.000, Beta: 0.000, Loss: 70.65, KL: 519.43, MAE: 0.04446, Word Loss: 26.49, Topo Loss: 5.41, Assm Loss: 5.49, Pred Loss: 0.13, Word: 74.77, Topo: 96.29, Assm: 73.80, PNorm: 180.90, GNorm: 50.00
