“starting the job...”
0,1,2,3
training/configs/rand_gen_zinc250k_config_dict.json
Training model...
Model #Params: 5207K
[Train][100] Alpha: 0.000, Beta: 0.000, Loss: 117.01, KL: 421.81, MAE: 324.19983, Word Loss: 88.55, Topo Loss: 19.85, Assm Loss: 8.62, Pred Loss: 29.66, Word: 28.70, Topo: 84.65, Assm: 56.08, PNorm: 103.61, GNorm: 50.00
[Train][200] Alpha: 0.000, Beta: 0.000, Loss: 76.79, KL: 342.36, MAE: 91.80274, Word Loss: 55.79, Topo Loss: 12.74, Assm Loss: 8.26, Pred Loss: 2.85, Word: 51.01, Topo: 91.13, Assm: 59.30, PNorm: 108.04, GNorm: 50.00
[Train][300] Alpha: 0.000, Beta: 0.000, Loss: 65.63, KL: 365.03, MAE: 81.95479, Word Loss: 47.34, Topo Loss: 10.55, Assm Loss: 7.74, Pred Loss: 2.34, Word: 59.41, Topo: 92.58, Assm: 62.32, PNorm: 111.75, GNorm: 50.00
[Train][400] Alpha: 0.000, Beta: 0.000, Loss: 60.48, KL: 407.59, MAE: 74.26951, Word Loss: 42.70, Topo Loss: 9.99, Assm Loss: 7.79, Pred Loss: 1.91, Word: 63.65, Topo: 92.83, Assm: 62.94, PNorm: 114.69, GNorm: 45.95
[Train][500] Alpha: 0.000, Beta: 0.000, Loss: 56.00, KL: 432.45, MAE: 65.91376, Word Loss: 39.39, Topo Loss: 9.01, Assm Loss: 7.59, Pred Loss: 1.50, Word: 65.96, Topo: 93.58, Assm: 62.93, PNorm: 117.57, GNorm: 50.00
[Train][600] Alpha: 0.000, Beta: 0.000, Loss: 53.67, KL: 471.95, MAE: 64.22466, Word Loss: 37.78, Topo Loss: 8.59, Assm Loss: 7.30, Pred Loss: 1.42, Word: 67.65, Topo: 93.96, Assm: 64.01, PNorm: 120.37, GNorm: 50.00
[Train][700] Alpha: 0.000, Beta: 0.000, Loss: 50.38, KL: 520.65, MAE: 59.48794, Word Loss: 35.05, Topo Loss: 8.30, Assm Loss: 7.04, Pred Loss: 1.21, Word: 69.44, Topo: 94.15, Assm: 64.86, PNorm: 123.03, GNorm: 41.41
[Train][800] Alpha: 0.000, Beta: 0.000, Loss: 49.00, KL: 546.30, MAE: 54.42475, Word Loss: 33.95, Topo Loss: 8.07, Assm Loss: 6.97, Pred Loss: 1.01, Word: 70.01, Topo: 94.31, Assm: 66.00, PNorm: 125.46, GNorm: 42.51
[Train][900] Alpha: 0.000, Beta: 0.000, Loss: 47.88, KL: 573.47, MAE: 56.03223, Word Loss: 33.03, Topo Loss: 7.89, Assm Loss: 6.97, Pred Loss: 1.08, Word: 71.61, Topo: 94.50, Assm: 66.10, PNorm: 127.97, GNorm: 45.87
[Train][1000] Alpha: 0.000, Beta: 0.000, Loss: 45.32, KL: 611.53, MAE: 52.97230, Word Loss: 31.39, Topo Loss: 7.45, Assm Loss: 6.47, Pred Loss: 0.96, Word: 71.76, Topo: 94.72, Assm: 68.26, PNorm: 130.51, GNorm: 50.00
[Train][1100] Alpha: 0.000, Beta: 0.000, Loss: 44.16, KL: 632.59, MAE: 53.14564, Word Loss: 30.54, Topo Loss: 7.60, Assm Loss: 6.03, Pred Loss: 0.97, Word: 73.36, Topo: 94.66, Assm: 70.68, PNorm: 132.88, GNorm: 50.00
[Train][1200] Alpha: 0.000, Beta: 0.000, Loss: 41.63, KL: 670.92, MAE: 49.62707, Word Loss: 28.85, Topo Loss: 7.01, Assm Loss: 5.77, Pred Loss: 0.85, Word: 74.28, Topo: 95.11, Assm: 72.89, PNorm: 135.43, GNorm: 50.00
[Train][1300] Alpha: 0.000, Beta: 0.000, Loss: 40.91, KL: 728.02, MAE: 46.34226, Word Loss: 28.42, Topo Loss: 6.78, Assm Loss: 5.71, Pred Loss: 0.76, Word: 74.54, Topo: 95.34, Assm: 73.51, PNorm: 137.76, GNorm: 48.34
[Train][1400] Alpha: 0.000, Beta: 0.000, Loss: 39.73, KL: 742.44, MAE: 46.53068, Word Loss: 27.52, Topo Loss: 6.73, Assm Loss: 5.48, Pred Loss: 0.72, Word: 75.43, Topo: 95.26, Assm: 73.85, PNorm: 139.94, GNorm: 50.00
[Train][1500] Alpha: 0.000, Beta: 0.000, Loss: 37.82, KL: 763.28, MAE: 41.40111, Word Loss: 25.87, Topo Loss: 6.73, Assm Loss: 5.22, Pred Loss: 0.58, Word: 76.65, Topo: 95.25, Assm: 75.79, PNorm: 141.95, GNorm: 46.65
[Train][1600] Alpha: 0.000, Beta: 0.000, Loss: 35.94, KL: 808.65, MAE: 37.73404, Word Loss: 24.88, Topo Loss: 5.98, Assm Loss: 5.08, Pred Loss: 0.51, Word: 77.10, Topo: 95.73, Assm: 76.34, PNorm: 143.94, GNorm: 50.00
[Train][1700] Alpha: 0.000, Beta: 0.000, Loss: 36.29, KL: 816.25, MAE: 37.44145, Word Loss: 25.14, Topo Loss: 6.36, Assm Loss: 4.79, Pred Loss: 0.49, Word: 77.60, Topo: 95.64, Assm: 77.58, PNorm: 145.92, GNorm: 48.34
[Train][1800] Alpha: 0.000, Beta: 0.000, Loss: 34.62, KL: 846.48, MAE: 37.55190, Word Loss: 24.03, Topo Loss: 5.92, Assm Loss: 4.67, Pred Loss: 0.50, Word: 78.00, Topo: 95.78, Assm: 77.99, PNorm: 147.84, GNorm: 50.00
[Train][1900] Alpha: 0.000, Beta: 0.000, Loss: 32.80, KL: 880.87, MAE: 37.52001, Word Loss: 22.50, Topo Loss: 5.86, Assm Loss: 4.43, Pred Loss: 0.49, Word: 79.19, Topo: 95.87, Assm: 78.63, PNorm: 149.74, GNorm: 50.00
[Train][2000] Alpha: 0.000, Beta: 0.000, Loss: 33.47, KL: 925.17, MAE: 36.70924, Word Loss: 22.57, Topo Loss: 6.09, Assm Loss: 4.81, Pred Loss: 0.48, Word: 79.53, Topo: 96.33, Assm: 78.74, PNorm: 151.58, GNorm: 50.00
[Train][2100] Alpha: 0.000, Beta: 0.000, Loss: 32.05, KL: 940.91, MAE: 36.48285, Word Loss: 22.05, Topo Loss: 5.52, Assm Loss: 4.48, Pred Loss: 0.46, Word: 80.01, Topo: 96.24, Assm: 79.08, PNorm: 153.26, GNorm: 41.21
[Train][2200] Alpha: 0.000, Beta: 0.000, Loss: 30.39, KL: 964.48, MAE: 35.59181, Word Loss: 20.97, Topo Loss: 5.18, Assm Loss: 4.23, Pred Loss: 0.44, Word: 80.37, Topo: 96.51, Assm: 79.83, PNorm: 155.06, GNorm: 50.00
