“starting the job...”
0,1,2,3
training/configs/rand_gen_zinc250k_config_dict.json
Training model...
Model #Params: 5207K
[Train][100] Alpha: 0.000, Beta: 0.000, Loss: 121.00, KL: 522.86, MAE: 6.32321, Word Loss: 91.79, Topo Loss: 20.32, Assm Loss: 8.89, Pred Loss: 45.39, Word: 28.02, Topo: 84.55, Assm: 55.35, PNorm: 103.31, GNorm: 50.00
[Train][200] Alpha: 0.000, Beta: 0.000, Loss: 78.19, KL: 380.13, MAE: 1.54531, Word Loss: 57.24, Topo Loss: 12.65, Assm Loss: 8.30, Pred Loss: 2.74, Word: 49.51, Topo: 91.32, Assm: 58.58, PNorm: 107.80, GNorm: 50.00
[Train][300] Alpha: 0.000, Beta: 0.000, Loss: 66.26, KL: 394.00, MAE: 1.48795, Word Loss: 47.60, Topo Loss: 10.56, Assm Loss: 8.11, Pred Loss: 2.49, Word: 59.33, Topo: 92.60, Assm: 60.84, PNorm: 111.51, GNorm: 44.78
[Train][400] Alpha: 0.000, Beta: 0.000, Loss: 61.38, KL: 420.92, MAE: 1.39311, Word Loss: 43.53, Topo Loss: 10.13, Assm Loss: 7.71, Pred Loss: 2.18, Word: 63.76, Topo: 93.00, Assm: 61.72, PNorm: 114.94, GNorm: 41.62
[Train][500] Alpha: 0.000, Beta: 0.000, Loss: 56.51, KL: 462.96, MAE: 1.36404, Word Loss: 39.67, Topo Loss: 9.16, Assm Loss: 7.68, Pred Loss: 2.14, Word: 65.96, Topo: 93.55, Assm: 62.87, PNorm: 118.03, GNorm: 45.19
[Train][600] Alpha: 0.000, Beta: 0.000, Loss: 52.87, KL: 508.32, MAE: 1.36061, Word Loss: 36.67, Topo Loss: 8.63, Assm Loss: 7.57, Pred Loss: 2.15, Word: 68.68, Topo: 93.93, Assm: 62.71, PNorm: 120.94, GNorm: 50.00
[Train][700] Alpha: 0.000, Beta: 0.000, Loss: 51.26, KL: 534.23, MAE: 1.20681, Word Loss: 35.17, Topo Loss: 8.83, Assm Loss: 7.27, Pred Loss: 1.68, Word: 69.65, Topo: 93.76, Assm: 64.54, PNorm: 123.57, GNorm: 50.00
[Train][800] Alpha: 0.000, Beta: 0.000, Loss: 47.27, KL: 583.71, MAE: 1.39911, Word Loss: 32.57, Topo Loss: 8.05, Assm Loss: 6.65, Pred Loss: 2.22, Word: 71.63, Topo: 94.41, Assm: 66.89, PNorm: 126.43, GNorm: 46.37
[Train][900] Alpha: 0.000, Beta: 0.000, Loss: 46.20, KL: 615.02, MAE: 1.18568, Word Loss: 31.74, Topo Loss: 7.76, Assm Loss: 6.70, Pred Loss: 1.67, Word: 72.01, Topo: 94.43, Assm: 67.16, PNorm: 129.18, GNorm: 50.00
[Train][1000] Alpha: 0.000, Beta: 0.000, Loss: 44.44, KL: 633.24, MAE: 1.19835, Word Loss: 30.75, Topo Loss: 7.40, Assm Loss: 6.29, Pred Loss: 1.64, Word: 73.07, Topo: 94.66, Assm: 68.70, PNorm: 131.71, GNorm: 50.00
[Train][1100] Alpha: 0.000, Beta: 0.000, Loss: 42.99, KL: 679.83, MAE: 1.26333, Word Loss: 29.39, Topo Loss: 7.55, Assm Loss: 6.05, Pred Loss: 1.86, Word: 74.03, Topo: 94.94, Assm: 71.77, PNorm: 134.25, GNorm: 50.00
