“starting the job...”
0,1,2,3
training/configs/rand_gen_zinc250k_config_dict.json
Training model...
Model #Params: 5207K
[Train][100] Alpha: 0.000, Beta: 0.000, Loss: 118.76, KL: 524.27, MAE: 6.58639, Word Loss: 89.99, Topo Loss: 20.00, Assm Loss: 8.77, Pred Loss: 48.73, Word: 27.87, Topo: 84.63, Assm: 55.62, PNorm: 103.32, GNorm: 50.00
[Train][200] Alpha: 0.000, Beta: 0.000, Loss: 76.92, KL: 372.79, MAE: 1.52791, Word Loss: 56.30, Topo Loss: 12.31, Assm Loss: 8.30, Pred Loss: 2.69, Word: 50.68, Topo: 91.45, Assm: 59.39, PNorm: 107.97, GNorm: 50.00
[Train][300] Alpha: 0.000, Beta: 0.000, Loss: 65.58, KL: 392.99, MAE: 1.59835, Word Loss: 47.15, Topo Loss: 10.60, Assm Loss: 7.84, Pred Loss: 2.91, Word: 60.34, Topo: 92.46, Assm: 61.39, PNorm: 111.81, GNorm: 50.00
[Train][400] Alpha: 0.000, Beta: 0.000, Loss: 60.54, KL: 434.41, MAE: 1.36209, Word Loss: 42.74, Topo Loss: 9.89, Assm Loss: 7.91, Pred Loss: 2.16, Word: 63.94, Topo: 92.92, Assm: 61.80, PNorm: 114.97, GNorm: 50.00
[Train][500] Alpha: 0.000, Beta: 0.000, Loss: 55.84, KL: 456.17, MAE: 1.21634, Word Loss: 39.20, Topo Loss: 9.00, Assm Loss: 7.65, Pred Loss: 1.69, Word: 66.41, Topo: 93.62, Assm: 62.16, PNorm: 118.01, GNorm: 50.00
[Train][600] Alpha: 0.000, Beta: 0.000, Loss: 52.84, KL: 508.13, MAE: 1.12893, Word Loss: 37.04, Topo Loss: 8.46, Assm Loss: 7.34, Pred Loss: 1.48, Word: 68.27, Topo: 94.16, Assm: 63.74, PNorm: 120.94, GNorm: 50.00
[Train][700] Alpha: 0.000, Beta: 0.000, Loss: 50.32, KL: 540.01, MAE: 1.18147, Word Loss: 34.71, Topo Loss: 8.52, Assm Loss: 7.09, Pred Loss: 1.61, Word: 69.72, Topo: 93.99, Assm: 64.80, PNorm: 123.53, GNorm: 50.00
[Train][800] Alpha: 0.000, Beta: 0.000, Loss: 48.49, KL: 558.82, MAE: 1.09103, Word Loss: 33.28, Topo Loss: 8.11, Assm Loss: 7.10, Pred Loss: 1.39, Word: 70.87, Topo: 94.19, Assm: 65.86, PNorm: 126.06, GNorm: 43.19
[Train][900] Alpha: 0.000, Beta: 0.000, Loss: 47.77, KL: 577.76, MAE: 1.08298, Word Loss: 32.73, Topo Loss: 7.91, Assm Loss: 7.13, Pred Loss: 1.39, Word: 72.06, Topo: 94.50, Assm: 65.16, PNorm: 128.54, GNorm: 50.00
[Train][1000] Alpha: 0.000, Beta: 0.000, Loss: 45.17, KL: 614.00, MAE: 1.15323, Word Loss: 30.98, Topo Loss: 7.42, Assm Loss: 6.77, Pred Loss: 1.48, Word: 72.46, Topo: 94.68, Assm: 66.36, PNorm: 131.04, GNorm: 50.00
[Train][1100] Alpha: 0.000, Beta: 0.000, Loss: 44.24, KL: 640.05, MAE: 0.97834, Word Loss: 30.53, Topo Loss: 7.50, Assm Loss: 6.21, Pred Loss: 1.10, Word: 73.05, Topo: 94.66, Assm: 70.14, PNorm: 133.43, GNorm: 50.00
[Train][1200] Alpha: 0.000, Beta: 0.000, Loss: 41.68, KL: 685.51, MAE: 1.01659, Word Loss: 28.65, Topo Loss: 7.04, Assm Loss: 5.99, Pred Loss: 1.18, Word: 74.54, Topo: 95.02, Assm: 71.11, PNorm: 135.77, GNorm: 50.00
[Train][1300] Alpha: 0.000, Beta: 0.000, Loss: 41.02, KL: 735.59, MAE: 1.05434, Word Loss: 28.44, Topo Loss: 6.71, Assm Loss: 5.87, Pred Loss: 1.28, Word: 74.54, Topo: 95.20, Assm: 72.76, PNorm: 138.15, GNorm: 40.49
[Train][1400] Alpha: 0.000, Beta: 0.000, Loss: 39.72, KL: 764.10, MAE: 1.00152, Word Loss: 27.44, Topo Loss: 6.83, Assm Loss: 5.45, Pred Loss: 1.17, Word: 75.76, Topo: 95.22, Assm: 73.59, PNorm: 140.39, GNorm: 50.00
[Train][1500] Alpha: 0.000, Beta: 0.000, Loss: 37.98, KL: 787.63, MAE: 0.93587, Word Loss: 25.95, Topo Loss: 6.76, Assm Loss: 5.27, Pred Loss: 1.00, Word: 76.56, Topo: 95.22, Assm: 74.66, PNorm: 142.45, GNorm: 50.00
