“starting the job...”
0,1,2,3
training/configs/rand_gen_zinc250k_config_dict.json
Training model...
Model #Params: 5207K
[Train][100] Alpha: 250.000, Beta: 0.000, Loss: 336.42, KL: 65.89, MAE: 0.84085, Word Loss: 97.73, Topo Loss: 27.07, Assm Loss: 8.80, Pred Loss: 0.81, Word: 26.30, Topo: 78.42, Assm: 56.35, PNorm: 104.22, GNorm: 50.00
[Train][200] Alpha: 250.000, Beta: 0.000, Loss: 179.78, KL: 87.69, MAE: 0.57126, Word Loss: 61.97, Topo Loss: 16.51, Assm Loss: 8.31, Pred Loss: 0.37, Word: 45.24, Topo: 88.52, Assm: 59.25, PNorm: 109.41, GNorm: 50.00
[Train][300] Alpha: 250.000, Beta: 0.000, Loss: 146.20, KL: 109.26, MAE: 0.49273, Word Loss: 54.26, Topo Loss: 14.73, Assm Loss: 8.32, Pred Loss: 0.28, Word: 51.59, Topo: 89.31, Assm: 58.87, PNorm: 114.11, GNorm: 50.00
[Train][400] Alpha: 250.000, Beta: 0.000, Loss: 117.11, KL: 160.76, MAE: 0.38994, Word Loss: 50.99, Topo Loss: 12.36, Assm Loss: 8.48, Pred Loss: 0.18, Word: 55.14, Topo: 91.56, Assm: 59.16, PNorm: 117.98, GNorm: 50.00
[Train][500] Alpha: 250.000, Beta: 0.000, Loss: 104.18, KL: 180.92, MAE: 0.34983, Word Loss: 47.73, Topo Loss: 11.46, Assm Loss: 7.80, Pred Loss: 0.15, Word: 57.52, Topo: 91.72, Assm: 59.90, PNorm: 122.28, GNorm: 50.00
[Train][600] Alpha: 250.000, Beta: 0.000, Loss: 103.85, KL: 206.18, MAE: 0.37201, Word Loss: 45.78, Topo Loss: 10.02, Assm Loss: 7.95, Pred Loss: 0.16, Word: 59.39, Topo: 92.98, Assm: 60.03, PNorm: 124.70, GNorm: 50.00
[Train][700] Alpha: 250.000, Beta: 0.000, Loss: 101.52, KL: 217.39, MAE: 0.36397, Word Loss: 45.37, Topo Loss: 10.46, Assm Loss: 7.86, Pred Loss: 0.15, Word: 60.79, Topo: 92.62, Assm: 61.08, PNorm: 127.67, GNorm: 50.00
[Train][800] Alpha: 250.000, Beta: 0.000, Loss: 87.32, KL: 248.28, MAE: 0.29822, Word Loss: 43.60, Topo Loss: 9.37, Assm Loss: 7.75, Pred Loss: 0.11, Word: 61.83, Topo: 93.29, Assm: 62.25, PNorm: 130.16, GNorm: 50.00
[Train][900] Alpha: 250.000, Beta: 0.000, Loss: 83.09, KL: 268.37, MAE: 0.27614, Word Loss: 43.31, Topo Loss: 9.47, Assm Loss: 7.73, Pred Loss: 0.09, Word: 61.47, Topo: 93.16, Assm: 62.37, PNorm: 133.33, GNorm: 50.00
[Train][1000] Alpha: 250.000, Beta: 0.000, Loss: 81.58, KL: 286.91, MAE: 0.28334, Word Loss: 41.73, Topo Loss: 9.06, Assm Loss: 7.46, Pred Loss: 0.09, Word: 63.12, Topo: 93.62, Assm: 61.33, PNorm: 136.29, GNorm: 50.00
[Train][1100] Alpha: 250.000, Beta: 0.000, Loss: 75.97, KL: 302.21, MAE: 0.24419, Word Loss: 40.70, Topo Loss: 8.60, Assm Loss: 7.47, Pred Loss: 0.08, Word: 63.73, Topo: 93.91, Assm: 63.74, PNorm: 139.58, GNorm: 50.00
[Train][1200] Alpha: 250.000, Beta: 0.000, Loss: 77.66, KL: 329.67, MAE: 0.27813, Word Loss: 39.05, Topo Loss: 8.42, Assm Loss: 7.23, Pred Loss: 0.09, Word: 65.64, Topo: 94.07, Assm: 63.50, PNorm: 141.65, GNorm: 50.00
[Train][1300] Alpha: 250.000, Beta: 0.000, Loss: 70.89, KL: 329.41, MAE: 0.23917, Word Loss: 38.20, Topo Loss: 8.05, Assm Loss: 7.21, Pred Loss: 0.07, Word: 65.81, Topo: 94.16, Assm: 64.14, PNorm: 144.15, GNorm: 50.00
[Train][1400] Alpha: 250.000, Beta: 0.000, Loss: 71.56, KL: 339.38, MAE: 0.24067, Word Loss: 38.93, Topo Loss: 8.13, Assm Loss: 7.24, Pred Loss: 0.07, Word: 65.77, Topo: 94.17, Assm: 64.71, PNorm: 146.52, GNorm: 50.00
[Train][1500] Alpha: 250.000, Beta: 0.000, Loss: 69.84, KL: 364.06, MAE: 0.24421, Word Loss: 37.31, Topo Loss: 7.84, Assm Loss: 6.97, Pred Loss: 0.07, Word: 66.60, Topo: 94.28, Assm: 65.09, PNorm: 148.55, GNorm: 50.00
[Train][1600] Alpha: 250.000, Beta: 0.000, Loss: 65.80, KL: 377.02, MAE: 0.21289, Word Loss: 36.97, Topo Loss: 7.87, Assm Loss: 7.25, Pred Loss: 0.05, Word: 67.24, Topo: 94.31, Assm: 65.26, PNorm: 151.59, GNorm: 50.00
[Train][1700] Alpha: 250.000, Beta: 0.000, Loss: 66.84, KL: 384.65, MAE: 0.23349, Word Loss: 35.95, Topo Loss: 7.32, Assm Loss: 7.14, Pred Loss: 0.07, Word: 68.52, Topo: 94.80, Assm: 65.36, PNorm: 153.38, GNorm: 50.00
[Train][1800] Alpha: 250.000, Beta: 0.000, Loss: 61.80, KL: 394.77, MAE: 0.19398, Word Loss: 35.63, Topo Loss: 7.99, Assm Loss: 6.92, Pred Loss: 0.05, Word: 68.35, Topo: 94.23, Assm: 66.11, PNorm: 156.49, GNorm: 50.00
[Train][1900] Alpha: 250.000, Beta: 0.000, Loss: 62.33, KL: 418.12, MAE: 0.20328, Word Loss: 34.63, Topo Loss: 7.90, Assm Loss: 7.16, Pred Loss: 0.05, Word: 68.89, Topo: 94.47, Assm: 64.10, PNorm: 159.18, GNorm: 50.00
[Train][2000] Alpha: 250.000, Beta: 0.000, Loss: 63.65, KL: 431.04, MAE: 0.22490, Word Loss: 33.65, Topo Loss: 7.43, Assm Loss: 6.82, Pred Loss: 0.06, Word: 70.11, Topo: 94.69, Assm: 66.82, PNorm: 160.87, GNorm: 50.00
[Train][2100] Alpha: 250.000, Beta: 0.000, Loss: 64.38, KL: 435.11, MAE: 0.22273, Word Loss: 34.46, Topo Loss: 7.46, Assm Loss: 6.95, Pred Loss: 0.06, Word: 69.53, Topo: 94.70, Assm: 65.72, PNorm: 162.77, GNorm: 50.00
[Train][2200] Alpha: 250.000, Beta: 0.000, Loss: 60.34, KL: 439.78, MAE: 0.21013, Word Loss: 33.32, Topo Loss: 7.22, Assm Loss: 6.69, Pred Loss: 0.05, Word: 70.37, Topo: 94.97, Assm: 65.77, PNorm: 164.55, GNorm: 50.00
[Train][2300] Alpha: 250.000, Beta: 0.000, Loss: 56.70, KL: 449.33, MAE: 0.19093, Word Loss: 31.95, Topo Loss: 6.65, Assm Loss: 6.75, Pred Loss: 0.05, Word: 71.56, Topo: 95.34, Assm: 66.94, PNorm: 166.25, GNorm: 50.00
[Train][2400] Alpha: 250.000, Beta: 0.000, Loss: 55.06, KL: 476.06, MAE: 0.17861, Word Loss: 31.40, Topo Loss: 6.71, Assm Loss: 7.07, Pred Loss: 0.04, Word: 72.05, Topo: 95.32, Assm: 65.56, PNorm: 168.21, GNorm: 50.00
[Train][2500] Alpha: 250.000, Beta: 0.000, Loss: 56.91, KL: 478.43, MAE: 0.20068, Word Loss: 31.09, Topo Loss: 6.32, Assm Loss: 6.65, Pred Loss: 0.05, Word: 71.59, Topo: 95.57, Assm: 67.52, PNorm: 169.96, GNorm: 50.00
[Train][2600] Alpha: 250.000, Beta: 0.000, Loss: 55.06, KL: 477.75, MAE: 0.18620, Word Loss: 30.84, Topo Loss: 7.09, Assm Loss: 6.68, Pred Loss: 0.04, Word: 71.91, Topo: 94.87, Assm: 68.26, PNorm: 171.48, GNorm: 50.00
[Train][2700] Alpha: 250.000, Beta: 0.000, Loss: 55.37, KL: 493.16, MAE: 0.18597, Word Loss: 30.94, Topo Loss: 6.72, Assm Loss: 6.61, Pred Loss: 0.04, Word: 72.30, Topo: 95.34, Assm: 68.38, PNorm: 173.89, GNorm: 50.00
[Train][2800] Alpha: 250.000, Beta: 0.000, Loss: 52.90, KL: 501.43, MAE: 0.17889, Word Loss: 30.37, Topo Loss: 6.29, Assm Loss: 6.69, Pred Loss: 0.04, Word: 72.29, Topo: 95.52, Assm: 67.67, PNorm: 175.92, GNorm: 50.00
[Train][2900] Alpha: 250.000, Beta: 0.000, Loss: 53.34, KL: 493.37, MAE: 0.17761, Word Loss: 30.08, Topo Loss: 6.61, Assm Loss: 6.72, Pred Loss: 0.04, Word: 72.66, Topo: 95.28, Assm: 66.58, PNorm: 178.07, GNorm: 50.00
[Train][3000] Alpha: 250.000, Beta: 0.000, Loss: 51.27, KL: 509.67, MAE: 0.18085, Word Loss: 28.35, Topo Loss: 5.89, Assm Loss: 6.28, Pred Loss: 0.04, Word: 74.26, Topo: 95.90, Assm: 68.94, PNorm: 179.77, GNorm: 50.00
[Train][3100] Alpha: 250.000, Beta: 0.000, Loss: 49.92, KL: 523.76, MAE: 0.16616, Word Loss: 28.54, Topo Loss: 5.83, Assm Loss: 6.52, Pred Loss: 0.04, Word: 73.52, Topo: 95.85, Assm: 67.45, PNorm: 181.69, GNorm: 50.00
[Train][3200] Alpha: 250.000, Beta: 0.000, Loss: 49.29, KL: 542.62, MAE: 0.16948, Word Loss: 28.44, Topo Loss: 5.77, Assm Loss: 6.44, Pred Loss: 0.03, Word: 73.94, Topo: 95.88, Assm: 68.14, PNorm: 183.72, GNorm: 50.00
[Train][3300] Alpha: 250.000, Beta: 0.000, Loss: 50.64, KL: 544.07, MAE: 0.18835, Word Loss: 27.61, Topo Loss: 5.76, Assm Loss: 6.31, Pred Loss: 0.04, Word: 74.82, Topo: 95.99, Assm: 69.46, PNorm: 185.19, GNorm: 50.00
[Train][3400] Alpha: 250.000, Beta: 0.000, Loss: 49.55, KL: 559.43, MAE: 0.16222, Word Loss: 28.08, Topo Loss: 6.27, Assm Loss: 6.53, Pred Loss: 0.03, Word: 74.16, Topo: 95.66, Assm: 66.87, PNorm: 187.29, GNorm: 50.00
[Train][3500] Alpha: 250.000, Beta: 0.000, Loss: 46.23, KL: 568.93, MAE: 0.15199, Word Loss: 27.14, Topo Loss: 5.67, Assm Loss: 6.45, Pred Loss: 0.03, Word: 74.84, Topo: 95.99, Assm: 68.43, PNorm: 188.94, GNorm: 50.00
[Train][3600] Alpha: 250.000, Beta: 0.000, Loss: 45.67, KL: 575.63, MAE: 0.16029, Word Loss: 26.22, Topo Loss: 5.35, Assm Loss: 6.37, Pred Loss: 0.03, Word: 75.99, Topo: 96.24, Assm: 68.65, PNorm: 190.40, GNorm: 50.00
[Train][3700] Alpha: 250.000, Beta: 0.000, Loss: 45.51, KL: 585.42, MAE: 0.16894, Word Loss: 25.53, Topo Loss: 5.17, Assm Loss: 6.01, Pred Loss: 0.04, Word: 76.52, Topo: 96.45, Assm: 71.08, PNorm: 191.61, GNorm: 50.00
slurmstepd: error: *** JOB 42074207 ON cdr2566 CANCELLED AT 2022-08-15T16:13:41 DUE TO TIME LIMIT ***
